#time;x;y;z
2020-11-23 10:23:36.835081;1.335;1.131;95.33751592356691
#time;x;y;z
2020-11-23 10:23:36.932607;1.335;1.131;98.14414012738854
#time;x;y;z
2020-11-23 10:23:37.035021;1.335;1.131;101.12617834394905
#time;x;y;z
2020-11-23 10:23:37.132748;1.335;1.131;104.10821656050956
#time;x;y;z
2020-11-23 10:23:37.235412;1.335;1.131;109.98458598726114
#time;x;y;z
2020-11-23 10:23:37.334949;1.335;1.131;109.98458598726114
#time;x;y;z
2020-11-23 10:23:37.436952;1.335;1.131;112.87891719745221
#time;x;y;z
2020-11-23 10:23:37.532779;1.335;1.131;115.77324840764328
#time;x;y;z
2020-11-23 10:23:37.635517;1.335;1.131;118.75528662420379
#time;x;y;z
2020-11-23 10:23:37.732981;1.336;1.131;121.64961783439492
#time;x;y;z
2020-11-23 10:23:37.835495;1.336;1.131;124.63165605095537
#time;x;y;z
2020-11-23 10:23:37.933340;1.335;1.131;127.43828025477706
#time;x;y;z
2020-11-23 10:23:38.037133;1.336;1.131;130.42031847133757
#time;x;y;z
2020-11-23 10:23:38.133007;1.335;1.131;136.2089808917197
#time;x;y;z
2020-11-23 10:23:38.236170;1.335;1.131;136.2089808917197
#time;x;y;z
2020-11-23 10:23:38.333116;1.335;1.131;139.19101910828022
#time;x;y;z
2020-11-23 10:23:38.435787;1.336;1.131;142.08535031847128
#time;x;y;z
2020-11-23 10:23:38.533272;1.335;1.131;145.06738853503174
#time;x;y;z
2020-11-23 10:23:38.635985;1.335;1.131;147.87401273885348
#time;x;y;z
2020-11-23 10:23:38.733335;1.335;1.131;150.85605095541393
#time;x;y;z
2020-11-23 10:23:38.835676;1.336;1.131;153.750382165605
#time;x;y;z
2020-11-23 10:23:38.933758;1.335;1.131;156.64471337579607
#time;x;y;z
2020-11-23 10:23:39.036044;1.332;1.133;158.92509554140122
#time;x;y;z
2020-11-23 10:23:39.133522;1.325;1.135;159.62675159235664
#time;x;y;z
2020-11-23 10:23:39.236153;1.316;1.138;159.45133757961776
#time;x;y;z
2020-11-23 10:23:39.337124;1.305;1.143;159.71445859872608
#time;x;y;z
2020-11-23 10:23:39.440526;1.29;1.148;159.62675159235664
#time;x;y;z
2020-11-23 10:23:39.533759;1.272;1.154;159.62675159235664
#time;x;y;z
2020-11-23 10:23:39.636332;1.252;1.162;159.71445859872608
#time;x;y;z
2020-11-23 10:23:39.733807;1.231;1.169;159.71445859872608
#time;x;y;z
2020-11-23 10:23:39.836300;1.21;1.177;159.80216560509552
#time;x;y;z
2020-11-23 10:23:39.934326;1.19;1.184;159.62675159235664
#time;x;y;z
2020-11-23 10:23:40.036183;1.148;1.2;159.71445859872608
#time;x;y;z
2020-11-23 10:23:40.135816;1.148;1.2;159.71445859872608
#time;x;y;z
2020-11-23 10:23:40.238308;1.128;1.207;159.71445859872608
#time;x;y;z
2020-11-23 10:23:40.334703;1.106;1.215;159.80216560509552
#time;x;y;z
2020-11-23 10:23:40.439111;1.085;1.222;159.80216560509552
#time;x;y;z
2020-11-23 10:23:40.533990;1.065;1.23;159.8898726114649
#time;x;y;z
2020-11-23 10:23:40.636447;1.044;1.237;159.71445859872608
#time;x;y;z
2020-11-23 10:23:40.734389;1.023;1.245;159.8898726114649
#time;x;y;z
2020-11-23 10:23:40.836504;1.002;1.252;159.97757961783435
#time;x;y;z
2020-11-23 10:23:40.934697;0.982;1.259;160.24070063694262
#time;x;y;z
2020-11-23 10:23:41.036774;0.961;1.267;159.8898726114649
#time;x;y;z
2020-11-23 10:23:41.134225;0.94;1.274;159.8898726114649
#time;x;y;z
2020-11-23 10:23:41.236787;0.919;1.282;159.97757961783435
#time;x;y;z
2020-11-23 10:23:41.334721;0.899;1.289;159.8898726114649
#time;x;y;z
2020-11-23 10:23:41.437088;0.878;1.297;159.97757961783435
#time;x;y;z
2020-11-23 10:23:41.534549;0.857;1.304;159.97757961783435
#time;x;y;z
2020-11-23 10:23:41.636782;0.836;1.311;159.97757961783435
#time;x;y;z
2020-11-23 10:23:41.734512;0.815;1.319;160.06528662420374
#time;x;y;z
2020-11-23 10:23:41.837158;0.795;1.326;160.06528662420374
#time;x;y;z
2020-11-23 10:23:41.934659;0.774;1.334;160.06528662420374
#time;x;y;z
2020-11-23 10:23:42.037244;0.753;1.341;160.06528662420374
#time;x;y;z
2020-11-23 10:23:42.134759;0.732;1.349;159.97757961783435
#time;x;y;z
2020-11-23 10:23:42.237196;0.712;1.356;160.06528662420374
#time;x;y;z
2020-11-23 10:23:42.334824;0.691;1.363;159.97757961783435
#time;x;y;z
2020-11-23 10:23:42.437592;0.67;1.371;160.06528662420374
#time;x;y;z
2020-11-23 10:23:42.535212;0.649;1.378;159.97757961783435
#time;x;y;z
2020-11-23 10:23:42.637624;0.628;1.386;160.06528662420374
#time;x;y;z
2020-11-23 10:23:42.735454;0.607;1.393;159.97757961783435
#time;x;y;z
2020-11-23 10:23:42.837595;0.587;1.4;159.97757961783435
#time;x;y;z
2020-11-23 10:23:42.934909;0.566;1.408;160.06528662420374
#time;x;y;z
2020-11-23 10:23:43.037308;0.545;1.415;159.97757961783435
#time;x;y;z
2020-11-23 10:23:43.135134;0.524;1.423;160.06528662420374
#time;x;y;z
2020-11-23 10:23:43.237848;0.504;1.43;160.06528662420374
#time;x;y;z
2020-11-23 10:23:43.335240;0.483;1.438;160.06528662420374
#time;x;y;z
2020-11-23 10:23:43.437584;0.462;1.445;160.15299363057318
#time;x;y;z
2020-11-23 10:23:43.535793;0.441;1.452;160.15299363057318
#time;x;y;z
2020-11-23 10:23:43.638197;0.42;1.46;160.15299363057318
#time;x;y;z
2020-11-23 10:23:43.735720;0.4;1.467;160.15299363057318
#time;x;y;z
2020-11-23 10:23:43.837673;0.379;1.474;160.15299363057318
#time;x;y;z
2020-11-23 10:23:43.935423;0.358;1.482;160.15299363057318
#time;x;y;z
2020-11-23 10:23:44.037793;0.337;1.489;160.24070063694262
#time;x;y;z
2020-11-23 10:23:44.135542;0.316;1.496;160.24070063694262
#time;x;y;z
2020-11-23 10:23:44.238295;0.296;1.504;160.24070063694262
#time;x;y;z
2020-11-23 10:23:44.336080;0.278;1.51;160.8546496815286
#time;x;y;z
2020-11-23 10:23:44.438485;0.264;1.514;163.57356687898084
