#time;posL;posR;velL;velR
2020-11-23 10:31:37.633776;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:37.732549;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:37.833832;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:37.931182;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.033934;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.131241;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.233714;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.331514;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.433853;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.531447;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.633749;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.731614;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.834427;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:38.931640;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.033778;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.131733;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.234217;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.332548;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.434438;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.532187;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.634509;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.731903;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.834311;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:39.931949;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.034213;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.132373;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.234543;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.332094;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.435230;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.532263;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.635035;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.732411;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.834966;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:40.932592;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.035381;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.132798;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.235441;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.332714;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.435109;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.532736;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.635082;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.732871;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.835470;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:41.933055;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.035537;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.133166;-11081.0;-13022.0;0.0;0.0
