#time;x;y;z
#time;x;y;z
2020-11-23 10:31:43.436077;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.533402;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.635931;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.734043;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.836229;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.934053;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.036923;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.133705;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.236218;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.333987;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.436503;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.533930;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.636171;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.733980;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.836645;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:44.934386;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.036715;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.134194;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.236920;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.334479;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.436551;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.534502;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.636907;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.734899;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.837192;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:45.934789;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.037039;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.134531;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.237222;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.336035;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.437064;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.534923;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.637512;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.735049;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.837164;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:46.935383;0.879;0.17;-15.143234169530558
#time;x;y;z
